x,y,z
-2.6,-2,3.5491911001621006e-5
-2.5,-2,3.050543529384933e-5
-2.4000000000000004,-2,2.627509937134391e-5
-2.3000000000000003,-2,2.266984461133777e-5
-2.2,-2,1.9588124532369032e-5
-2.1,-2,1.6948148464886097e-5
-2.0,-2,1.4682596247433435e-5
-1.9000000000000001,-2,1.2735424894635148e-5
-1.8,-2,1.1059745823805898e-5
-1.7000000000000002,-2,9.61633741875459e-6
-1.6,-2,8.37262824490305e-6
-1.5,-2,7.302140421344343e-6
-1.4000000000000001,-2,6.3845186103458495e-6
-1.3,-2,5.606454569675547e-6
-1.2000000000000002,-2,4.964121690431836e-6
-1.1,-2,4.468255765021555e-6
-1.0,-2,4.1538811208696575e-6
-0.9,-2,4.097962530382673e-6
-0.8,-2,4.449676354380253e-6
-0.7000000000000001,-2,5.477901846820437e-6
-0.6000000000000001,-2,7.633659729288822e-6
-0.5,-2,1.1599960901496723e-5
-0.4,-2,1.824679423821189e-5
-0.30000000000000004,-2,2.8358944912490343e-5
-0.2,-2,4.211036629072487e-5
-0.1,-2,5.864161459450466e-5
0.0,-2,7.631050724731786e-5
0.1,-2,9.355133358796588e-5
0.2,-2,1.0953370275247706e-4
0.30000000000000004,-2,1.2416970464660385e-4
0.4,-2,1.3775860878493742e-4
0.5,-2,1.5065174522619658e-4
0.6000000000000001,-2,1.6304404900089852e-4
0.7000000000000001,-2,1.748253220934766e-4
0.8,-2,1.85393401091507e-4
0.9,-2,1.933630683060414e-4
1.0,-2,1.9622360306981146e-4
1.1,-2,1.9035206312873333e-4
1.2000000000000002,-2,1.723495457404448e-4
1.3,-2,1.4221968491328268e-4
1.4000000000000001,-2,1.0568008816713802e-4
1.5,-2,7.12551984634919e-5
1.6,-2,4.4577895679722695e-5
1.7000000000000002,-2,2.6534571847162495e-5
1.8,-2,1.533058667278497e-5
1.9000000000000001,-2,8.71105341831247e-6
2.0,-2,4.906302255868976e-6
2.1,-2,2.751377086433799e-6
2.2,-2,1.540125399107067e-6
2.3000000000000003,-2,8.618149900999269e-7
2.4000000000000004,-2,4.825390293944549e-7
2.5,-2,2.705301316588372e-7
2.6,-2,1.519687807627792e-7
2.7,-2,8.561237122532247e-8
2.8000000000000003,-2,4.8450156644298765e-8
2.9000000000000004,-2,2.765725691105776e-8
3.0,-2,1.610328873618679e-8
3.1,-2,9.856742419915434e-9
3.2,-2,6.811297352371663e-9
3.3000000000000003,-2,5.950886091367326e-9
3.4000000000000004,-2,6.99399789768352e-9
3.5,-2,1.0290387979712252e-8
3.6,-2,1.6930829548320276e-8
3.7,-2,2.9103025476946194e-8
3.8000000000000003,-2,5.080898090499686e-8
3.9000000000000004,-2,8.917852440250435e-8
4.0,-2,1.568097320622982e-7
4.1000000000000005,-2,2.759042720010655e-7
4.2,-2,4.855549311454358e-7
-2.6,-1.95,4.80655436792404e-5
-2.5,-1.95,4.127023292404363e-5
-2.4000000000000004,-1.95,3.551813295807507e-5
-2.3000000000000003,-1.95,3.0623022399371076e-5
-2.2,-1.95,2.6443115644204425e-5
-2.1,-1.95,2.2865378115170913e-5
-2.0,-1.95,1.9797303350126435e-5
-1.9000000000000001,-1.95,1.716211504173202e-5
-1.8,-1.95,1.48956651315854e-5
-1.7000000000000002,-1.95,1.29442876113174e-5
-1.6,-1.95,1.1263311312766844e-5
-1.5,-1.95,9.816167796863756e-6
-1.4000000000000001,-1.95,8.57420903555728e-6
-1.3,-1.95,7.5175686663354465e-6
-1.2000000000000002,-1.95,6.637749740020423e-6
-1.1,-1.95,5.943217698373011e-6
-1.0,-1.95,5.470272786107941e-6
-0.9,-1.95,5.302997710497256e-6
-0.8,-1.95,5.607914783609683e-6
-0.7000000000000001,-1.95,6.689584527107472e-6
-0.6000000000000001,-1.95,9.067320587824548e-6
-0.5,-1.95,1.3547522417208992e-5
-0.4,-1.95,2.1204407236424465e-5
-0.30000000000000004,-1.95,3.310756008135431e-5
-0.2,-1.95,4.970598957487547e-5
-0.1,-1.95,7.0201231127358e-5
0.0,-1.95,9.264610954054885e-5
0.1,-1.95,1.1493610819116367e-4
0.2,-1.95,1.357815999577016e-4
0.30000000000000004,-1.95,1.5488904908735635e-4
0.4,-1.95,1.7256314116014172e-4
0.5,-1.95,1.8925341580104432e-4
0.6000000000000001,-1.95,2.0525606149008016e-4
0.7000000000000001,-1.95,2.2051554655636187e-4
0.8,-1.95,2.3440226485356707e-4
0.9,-1.95,2.453697407913216e-4
1.0,-1.95,2.5051546450082277e-4
1.1,-1.95,2.4544714724774604e-4
1.2000000000000002,-1.95,2.2556138317253715e-4
1.3,-1.95,1.8972320320881128e-4
1.4000000000000001,-1.95,1.4387648005282434e-4
1.5,-1.95,9.874744582189804e-5
1.6,-1.95,6.259191189208764e-5
1.7000000000000002,-1.95,3.7578936850654974e-5
1.8,-1.95,2.1827007683085504e-5
1.9000000000000001,-1.95,1.2442592895714814e-5
